smiles,molecule_chembl_id,canonical_smiles,standard_type,standard_relation,standard_value,standard_units,MW,LogP,NumHDonors,NumHAcceptors,pIC50,Classification
COc1cc(Cl)cnc1C(=O)Nc1ccc(F)c([C@@]2(C(F)F)N=C(N)O[C@@H]3C[C@@H]32)c1,CHEMBL3683789,COc1cc(Cl)cnc1C(=O)Nc1ccc(F)c([C@@]2(C(F)F)N=C(N)O[C@@H]3C[C@@H]32)c1,IC50,=,117.5,nM,440.80900000000014,3.328800000000001,2.0,6.0,6.9299621333922445,0
Cc1cc(OCC#CC(C)(C)O)cnc1C(=O)Nc1ccc(F)c(C2(C)N=C(N)O[C@H]3C[C@H]32)c1,CHEMBL3683790,Cc1cc(OCC#CC(C)(C)O)cnc1C(=O)Nc1ccc(F)c(C2(C)N=C(N)O[C@H]3C[C@H]32)c1,IC50,=,206.5,nM,466.5130000000002,2.8831200000000012,3.0,7.0,6.6850799440075805,0
Cc1cc(NC(=O)c2ccc(Cl)cn2)cc([C@@]2(C(F)F)N=C(N)O[C@@H]3C[C@@H]32)c1F,CHEMBL3683791,Cc1cc(NC(=O)c2ccc(Cl)cn2)cc([C@@]2(C(F)F)N=C(N)O[C@@H]3C[C@@H]32)c1F,IC50,=,43.2,nM,424.8100000000002,3.6286200000000015,2.0,5.0,7.364516253185087,1
NC1=N[C@@](CF)(c2cc(NC(=O)c3ccc(Cl)cn3)cc(F)c2F)[C@@H]2C[C@@H]2O1,CHEMBL3683792,NC1=N[C@@](CF)(c2cc(NC(=O)c3ccc(Cl)cn3)cc(F)c2F)[C@@H]2C[C@@H]2O1,IC50,=,306.0,nM,410.78300000000013,3.1637000000000013,2.0,5.0,6.51427857351842,0
N#Cc1ccc(C(=O)Nc2cc(F)c(F)c([C@@]3(CF)N=C(N)O[C@@H]4C[C@@H]43)c2)nc1,CHEMBL3683797,N#Cc1ccc(C(=O)Nc2cc(F)c(F)c([C@@]3(CF)N=C(N)O[C@@H]4C[C@@H]43)c2)nc1,IC50,=,69.8,nM,401.34800000000007,2.3819800000000004,2.0,6.0,7.156144577376839,1
N#Cc1ccc(C(=O)Nc2cc(F)c(F)c([C@]3(CF)N=C(N)O[C@H]4C[C@H]43)c2)nc1,CHEMBL3683798,N#Cc1ccc(C(=O)Nc2cc(F)c(F)c([C@]3(CF)N=C(N)O[C@H]4C[C@H]43)c2)nc1,IC50,=,16500.0,nM,401.34800000000007,2.3819800000000004,2.0,6.0,4.782516055786093,0
NC1=N[C@](CF)(c2cc(NC(=O)c3ccc(Br)cn3)cc(F)c2F)[C@H]2C[C@H]2O1,CHEMBL3683799,NC1=N[C@](CF)(c2cc(NC(=O)c3ccc(Br)cn3)cc(F)c2F)[C@H]2C[C@H]2O1,IC50,=,46.9,nM,455.23400000000015,3.272800000000001,2.0,5.0,7.328827157284918,1
NC1=N[C@@](CF)(c2cc(NC(=O)c3ccc(Br)cn3)cc(F)c2F)[C@@H]2C[C@@H]2O1,CHEMBL3683800,NC1=N[C@@](CF)(c2cc(NC(=O)c3ccc(Br)cn3)cc(F)c2F)[C@@H]2C[C@@H]2O1,IC50,=,6495.0,nM,455.23400000000015,3.272800000000001,2.0,5.0,5.187420844590953,0
COc1ccc(C(=O)Nc2cc(F)c(F)c([C@@]3(CF)N=C(N)O[C@@H]4C[C@@H]43)c2)nc1,CHEMBL3683801,COc1ccc(C(=O)Nc2cc(F)c(F)c([C@@]3(CF)N=C(N)O[C@@H]4C[C@@H]43)c2)nc1,IC50,=,134.5,nM,406.36400000000015,2.5189000000000004,2.0,6.0,6.871277715661572,0
COCc1cc(Cl)cnc1C(=O)Nc1ccc(F)c([C@@]2(C(F)F)N=C(N)O[C@@H]3C[C@@H]32)c1,CHEMBL3683802,COCc1cc(Cl)cnc1C(=O)Nc1ccc(F)c([C@@]2(C(F)F)N=C(N)O[C@@H]3C[C@@H]32)c1,IC50,=,27.7,nM,454.8360000000001,3.466600000000001,2.0,6.0,7.557520230935554,1
Cc1cc(Cl)cnc1C(=O)Nc1ccc(F)c([C@@]2(C(F)F)N=C(N)O[C@@H]3C[C@@H]32)c1,CHEMBL3683803,Cc1cc(Cl)cnc1C(=O)Nc1ccc(F)c([C@@]2(C(F)F)N=C(N)O[C@@H]3C[C@@H]32)c1,IC50,=,22.5,nM,424.8100000000002,3.6286200000000006,2.0,5.0,7.647817481888637,1
Cc1cc(C#N)cnc1C(=O)Nc1ccc(F)c([C@@]2(C(F)F)N=C(N)O[C@@H]3C[C@@H]32)c1,CHEMBL3683804,Cc1cc(C#N)cnc1C(=O)Nc1ccc(F)c([C@@]2(C(F)F)N=C(N)O[C@@H]3C[C@@H]32)c1,IC50,=,14.2,nM,415.37500000000017,2.8469000000000007,2.0,6.0,7.847711655616942,1
COc1cc(C#N)cnc1C(=O)Nc1ccc(F)c([C@@]2(C(F)F)N=C(N)O[C@@H]3C[C@@H]32)c1,CHEMBL3683805,COc1cc(C#N)cnc1C(=O)Nc1ccc(F)c([C@@]2(C(F)F)N=C(N)O[C@@H]3C[C@@H]32)c1,IC50,=,55.5,nM,431.37400000000014,2.54708,2.0,7.0,7.2557070168773246,1
NC1=N[C@](CF)(c2cc(NC(=O)c3ccc(Cl)cn3)cc(F)c2F)[C@H]2C[C@H]2O1,CHEMBL3683808,NC1=N[C@](CF)(c2cc(NC(=O)c3ccc(Cl)cn3)cc(F)c2F)[C@H]2C[C@H]2O1,IC50,=,43.9,nM,410.78300000000013,3.1637000000000013,2.0,5.0,7.357535479757877,1
Cc1cc(C#N)cnc1C(=O)Nc1cc(F)c(F)c([C@@]2(CF)N=C(N)O[C@@H]3C[C@@H]32)c1,CHEMBL3683809,Cc1cc(C#N)cnc1C(=O)Nc1cc(F)c(F)c([C@@]2(CF)N=C(N)O[C@@H]3C[C@@H]32)c1,IC50,=,30.8,nM,415.37500000000017,2.690400000000001,2.0,6.0,7.511449283499554,1
Cc1cc(C#N)cnc1C(=O)Nc1cc(F)c(F)c([C@]2(CF)N=C(N)O[C@H]3C[C@H]32)c1,CHEMBL3683810,Cc1cc(C#N)cnc1C(=O)Nc1cc(F)c(F)c([C@]2(CF)N=C(N)O[C@H]3C[C@H]32)c1,IC50,=,26621.0,nM,415.37500000000017,2.690400000000001,2.0,6.0,4.574775634574161,0
Cc1cc(C(F)(F)F)cnc1C(=O)Nc1cc(F)c(F)c([C@@]2(CF)N=C(N)O[C@@H]3C[C@@H]32)c1,CHEMBL3683811,Cc1cc(C(F)(F)F)cnc1C(=O)Nc1cc(F)c(F)c([C@@]2(CF)N=C(N)O[C@@H]3C[C@@H]32)c1,IC50,=,62.7,nM,458.36200000000025,3.837520000000002,2.0,5.0,7.202732459169281,1
NC1=N[C@](c2cc(NC(=O)c3ccc(Cl)cn3)ccc2F)(C(F)F)[C@@H]2C[C@@H]2O1,CHEMBL3683815,NC1=N[C@](c2cc(NC(=O)c3ccc(Cl)cn3)ccc2F)(C(F)F)[C@@H]2C[C@@H]2O1,IC50,=,36.2,nM,410.78300000000013,3.3202000000000016,2.0,5.0,7.441291429466834,1
CC#CCOc1cnc(C(=O)Nc2ccc(F)c([C@@]3(C)N=C(N)O[C@@H]4C[C@@H]43)c2)c(C)c1,CHEMBL3683816,CC#CCOc1cnc(C(=O)Nc2ccc(F)c([C@@]3(C)N=C(N)O[C@@H]4C[C@@H]43)c2)c(C)c1,IC50,=,12.9,nM,422.46000000000015,3.1321200000000013,2.0,6.0,7.889410289700751,1
CC#CCOc1cnc(C(=O)Nc2ccc(F)c([C@]3(C)N=C(N)O[C@H]4C[C@H]43)c2)c(C)c1,CHEMBL3683817,CC#CCOc1cnc(C(=O)Nc2ccc(F)c([C@]3(C)N=C(N)O[C@H]4C[C@H]43)c2)c(C)c1,IC50,=,2250.0,nM,422.46000000000015,3.1321200000000013,2.0,6.0,5.647817481888637,0
N#Cc1ccc(C(=O)Nc2ccc(F)c([C@]3(C(F)F)N=C(N)O[C@H]4C[C@H]43)c2)nc1,CHEMBL3683819,N#Cc1ccc(C(=O)Nc2ccc(F)c([C@]3(C(F)F)N=C(N)O[C@H]4C[C@H]43)c2)nc1,IC50,=,34.5,nM,401.3480000000001,2.5384800000000007,2.0,6.0,7.4621809049267265,1
N#Cc1cnc(C(=O)Nc2ccc(F)c([C@]3(C(F)F)N=C(N)O[C@H]4C[C@H]43)c2)c(Cl)c1,CHEMBL3683821,N#Cc1cnc(C(=O)Nc2ccc(F)c([C@]3(C(F)F)N=C(N)O[C@H]4C[C@H]43)c2)c(Cl)c1,IC50,=,26.6,nM,435.7930000000002,3.191880000000001,2.0,6.0,7.575118363368933,1
N#Cc1cnc(C(=O)Nc2ccc(F)c([C@@]3(C(F)F)N=C(N)O[C@@H]4C[C@@H]43)c2)c(Cl)c1,CHEMBL3683823,N#Cc1cnc(C(=O)Nc2ccc(F)c([C@@]3(C(F)F)N=C(N)O[C@@H]4C[C@@H]43)c2)c(Cl)c1,IC50,=,15.3,nM,435.7930000000002,3.191880000000001,2.0,6.0,7.815308569182402,1
C[C@]1(c2cc(NC(=O)c3ccc(Cl)cn3)ccc2F)N=C(N)O[C@@H]2C[C@@H]21,CHEMBL3683824,C[C@]1(c2cc(NC(=O)c3ccc(Cl)cn3)ccc2F)N=C(N)O[C@@H]2C[C@@H]21,IC50,=,65.0,nM,374.80300000000017,3.075000000000001,2.0,5.0,7.187086643357143,1
COc1cnc(C(=O)Nc2ccc(F)c([C@@]3(C(F)F)N=C(N)O[C@@H]4C[C@@H]43)c2)c(Cl)c1,CHEMBL3683826,COc1cnc(C(=O)Nc2ccc(F)c([C@@]3(C(F)F)N=C(N)O[C@@H]4C[C@@H]43)c2)c(Cl)c1,IC50,=,56.8,nM,440.80900000000014,3.328800000000001,2.0,6.0,7.245651664288981,1
NC1=N[C@@](c2cc(NC(=O)c3ncc(Cl)cc3Cl)ccc2F)(C(F)F)[C@H]2C[C@H]2O1,CHEMBL3683827,NC1=N[C@@](c2cc(NC(=O)c3ncc(Cl)cc3Cl)ccc2F)(C(F)F)[C@H]2C[C@H]2O1,IC50,=,27.6,nM,445.22800000000007,3.9736000000000016,2.0,5.0,7.559090917934783,1
NC1=N[C@@](c2cc(NC(=O)c3ccc(Br)cn3)ccc2F)(C(F)F)[C@H]2C[C@H]2O1,CHEMBL3683830,NC1=N[C@@](c2cc(NC(=O)c3ccc(Br)cn3)ccc2F)(C(F)F)[C@H]2C[C@H]2O1,IC50,=,24.7,nM,455.23400000000015,3.4293000000000022,2.0,5.0,7.607303046740334,1
NC1=N[C@@](c2cc(NC(=O)c3ccc(Cl)cn3)ccc2F)(C(F)F)[C@H]2C[C@H]2O1,CHEMBL3683832,NC1=N[C@@](c2cc(NC(=O)c3ccc(Cl)cn3)ccc2F)(C(F)F)[C@H]2C[C@H]2O1,IC50,=,26.6,nM,410.78300000000013,3.3202000000000016,2.0,5.0,7.575118363368933,1
N#Cc1ccc(C(=O)Nc2ccc(F)c([C@@]3(C(F)F)N=C(N)O[C@@H]4C[C@@H]43)c2)nc1,CHEMBL3683833,N#Cc1ccc(C(=O)Nc2ccc(F)c([C@@]3(C(F)F)N=C(N)O[C@@H]4C[C@@H]43)c2)nc1,IC50,=,26.8,nM,401.3480000000001,2.5384800000000007,2.0,6.0,7.5718652059712115,1
COc1ccc(C(=O)Nc2ccc(F)c([C@@]3(CF)N=C(N)O[C@@H]4C[C@@H]43)c2F)nc1,CHEMBL3683835,COc1ccc(C(=O)Nc2ccc(F)c([C@@]3(CF)N=C(N)O[C@@H]4C[C@@H]43)c2F)nc1,IC50,=,3038.9,nM,406.36400000000015,2.5189000000000004,2.0,6.0,5.517283590858767,0
COC[C@]1(c2cc(NC(=O)c3ccc(Cl)cn3)ccc2F)N=C(N)O[C@@H]2C[C@@H]21,CHEMBL3683838,COC[C@]1(c2cc(NC(=O)c3ccc(Cl)cn3)ccc2F)N=C(N)O[C@@H]2C[C@@H]21,IC50,=,2740.0,nM,404.8290000000002,2.7015,2.0,6.0,5.562249437179612,0
COc1cc(C#N)cnc1C(=O)Nc1cc(Cl)c(F)c([C@@]2(CF)N=C(N)O[C@@H]3C[C@@H]32)c1,CHEMBL3683842,COc1cc(C#N)cnc1C(=O)Nc1cc(Cl)c(F)c([C@@]2(CF)N=C(N)O[C@@H]3C[C@@H]32)c1,IC50,=,75.9,nM,447.8290000000002,2.904880000000001,2.0,7.0,7.11975822410452,1
Cc1cc(OC(F)F)cnc1C(=O)Nc1cc(Cl)c(F)c([C@@]2(CF)N=C(N)O[C@@H]3C[C@@H]32)c1,CHEMBL3683843,Cc1cc(OC(F)F)cnc1C(=O)Nc1cc(Cl)c(F)c([C@@]2(CF)N=C(N)O[C@@H]3C[C@@H]32)c1,IC50,=,32.3,nM,472.82600000000025,3.9344200000000016,2.0,6.0,7.490797477668897,1
N#Cc1ccc(C(=O)Nc2cc(Cl)c(F)c([C@@]3(CF)N=C(N)O[C@@H]4C[C@@H]43)c2)nc1,CHEMBL3683844,N#Cc1ccc(C(=O)Nc2cc(Cl)c(F)c([C@@]3(CF)N=C(N)O[C@@H]4C[C@@H]43)c2)nc1,IC50,=,29.4,nM,417.80300000000017,2.8962800000000017,2.0,6.0,7.531652669587842,1
Cc1cc(C#N)cnc1C(=O)Nc1cc(Cl)c(F)c([C@@]2(CF)N=C(N)O[C@@H]3C[C@@H]32)c1,CHEMBL3683847,Cc1cc(C#N)cnc1C(=O)Nc1cc(Cl)c(F)c([C@@]2(CF)N=C(N)O[C@@H]3C[C@@H]32)c1,IC50,=,50.6,nM,431.83000000000015,3.2047000000000017,2.0,6.0,7.295849483160201,1
NC1=N[C@](c2cc(NC(=O)c3ccc(Cl)cn3)ccc2Cl)(C(F)F)[C@@H]2C[C@@H]2O1,CHEMBL3683848,NC1=N[C@](c2cc(NC(=O)c3ccc(Cl)cn3)ccc2Cl)(C(F)F)[C@@H]2C[C@@H]2O1,IC50,=,17050.0,nM,427.23800000000006,3.8345000000000016,2.0,5.0,4.768275616671484,0
N#Cc1ccc(C(=O)Nc2ccc(Cl)c([C@@]3(C(F)F)N=C(N)O[C@@H]4C[C@@H]43)c2)nc1,CHEMBL3683849,N#Cc1ccc(C(=O)Nc2ccc(Cl)c([C@@]3(C(F)F)N=C(N)O[C@@H]4C[C@@H]43)c2)nc1,IC50,=,19.1,nM,417.80300000000017,3.052780000000001,2.0,6.0,7.718966632752272,1
N#Cc1ccc(C(=O)Nc2ccc(Cl)c([C@]3(C(F)F)N=C(N)O[C@H]4C[C@H]43)c2)nc1,CHEMBL3683850,N#Cc1ccc(C(=O)Nc2ccc(Cl)c([C@]3(C(F)F)N=C(N)O[C@H]4C[C@H]43)c2)nc1,IC50,=,31911.0,nM,417.80300000000017,3.052780000000001,2.0,6.0,4.496059586039111,0
NC1=N[C@@](c2cc(NC(=O)c3ccc(Cl)cn3)ccc2Cl)(C(F)F)[C@H]2C[C@H]2O1,CHEMBL3683853,NC1=N[C@@](c2cc(NC(=O)c3ccc(Cl)cn3)ccc2Cl)(C(F)F)[C@H]2C[C@H]2O1,IC50,=,37.1,nM,427.23800000000006,3.8345000000000016,2.0,5.0,7.430626090384954,1
COc1ccc(C(=O)Nc2ccc(Cl)c([C@@]3(C(F)F)N=C(N)O[C@@H]4C[C@@H]43)c2)nc1,CHEMBL3683854,COc1ccc(C(=O)Nc2ccc(Cl)c([C@@]3(C(F)F)N=C(N)O[C@@H]4C[C@@H]43)c2)nc1,IC50,=,61.1,nM,422.8190000000001,3.189700000000001,2.0,6.0,7.213958789757446,1
COc1cnc(C(=O)Nc2ccc(Cl)c([C@@]3(C(F)F)N=C(N)O[C@@H]4C[C@@H]43)c2)c(C)c1,CHEMBL3683855,COc1cnc(C(=O)Nc2ccc(Cl)c([C@@]3(C(F)F)N=C(N)O[C@@H]4C[C@@H]43)c2)c(C)c1,IC50,=,97.1,nM,436.8460000000002,3.498120000000001,2.0,6.0,7.012780770091995,1
NC1=N[C@@](c2cc(NC(=O)c3ccc(Cl)cn3)cc(F)c2F)(C(F)F)[C@H]2C[C@H]2O1,CHEMBL3683861,NC1=N[C@@](c2cc(NC(=O)c3ccc(Cl)cn3)cc(F)c2F)(C(F)F)[C@H]2C[C@H]2O1,IC50,=,19.6,nM,428.77300000000014,3.4593000000000025,2.0,5.0,7.707743928643524,1
NC1=N[C@](c2cc(NC(=O)c3ccc(Cl)cn3)cc(F)c2F)(C(F)F)[C@@H]2C[C@@H]2O1,CHEMBL3683862,NC1=N[C@](c2cc(NC(=O)c3ccc(Cl)cn3)cc(F)c2F)(C(F)F)[C@@H]2C[C@@H]2O1,IC50,=,10365.0,nM,428.77300000000014,3.4593000000000025,2.0,5.0,4.98443069357012,0
N#Cc1ccc(C(=O)Nc2cc(F)c(F)c([C@]3(C(F)F)N=C(N)O[C@H]4C[C@H]43)c2)nc1,CHEMBL3683863,N#Cc1ccc(C(=O)Nc2cc(F)c(F)c([C@]3(C(F)F)N=C(N)O[C@H]4C[C@H]43)c2)nc1,IC50,=,12050.0,nM,419.33800000000014,2.6775800000000007,2.0,6.0,4.919012953089113,0
N#Cc1ccc(C(=O)Nc2cc(F)c(F)c([C@@]3(C(F)F)N=C(N)O[C@@H]4C[C@@H]43)c2)nc1,CHEMBL3683866,N#Cc1ccc(C(=O)Nc2cc(F)c(F)c([C@@]3(C(F)F)N=C(N)O[C@@H]4C[C@@H]43)c2)nc1,IC50,=,27.5,nM,419.33800000000014,2.6775800000000007,2.0,6.0,7.560667306169737,1
NC1=N[C@@](c2cc(NC(=O)c3ccc(Br)cn3)cc(F)c2F)(C(F)F)[C@H]2C[C@H]2O1,CHEMBL3683868,NC1=N[C@@](c2cc(NC(=O)c3ccc(Br)cn3)cc(F)c2F)(C(F)F)[C@H]2C[C@H]2O1,IC50,=,18.5,nM,473.22400000000016,3.5684000000000022,2.0,5.0,7.732828271596986,1
NC1=N[C@](CF)(c2cc(NC(=O)c3ccc(Cl)cn3)ccc2F)[C@H]2C[C@H]2O1,CHEMBL3683869,NC1=N[C@](CF)(c2cc(NC(=O)c3ccc(Cl)cn3)ccc2F)[C@H]2C[C@H]2O1,IC50,=,21.1,nM,392.79300000000006,3.0246000000000013,2.0,5.0,7.675717544702308,1
NC1=N[C@@](CF)(c2cc(NC(=O)c3ccc(Cl)cn3)ccc2F)[C@@H]2C[C@@H]2O1,CHEMBL3683870,NC1=N[C@@](CF)(c2cc(NC(=O)c3ccc(Cl)cn3)ccc2F)[C@@H]2C[C@@H]2O1,IC50,=,1560.0,nM,392.79300000000006,3.0246000000000013,2.0,5.0,5.806875401645538,0
COc1ccc(C(=O)Nc2cc(F)c(F)c([C@@]3(C(F)F)N=C(N)O[C@@H]4C[C@@H]43)c2)nc1,CHEMBL3683873,COc1ccc(C(=O)Nc2cc(F)c(F)c([C@@]3(C(F)F)N=C(N)O[C@@H]4C[C@@H]43)c2)nc1,IC50,=,83.3,nM,424.35400000000016,2.8145000000000007,2.0,6.0,7.079354998593212,1
Cc1cc(C(F)F)cnc1C(=O)Nc1ccc(Cl)c([C@@]2(CF)N=C(N)O[C@@H]3C[C@@H]32)c1,CHEMBL3683874,Cc1cc(C(F)F)cnc1C(=O)Nc1ccc(Cl)c([C@@]2(CF)N=C(N)O[C@@H]3C[C@@H]32)c1,IC50,=,99.0,nM,438.83700000000016,4.131520000000002,2.0,5.0,7.00436480540245,1
Cc1cc(NC(=O)c2ccc(Cl)cn2)cc([C@]2(C(F)F)N=C(N)O[C@H]3C[C@H]32)c1F,CHEMBL3683875,Cc1cc(NC(=O)c2ccc(Cl)cn2)cc([C@]2(C(F)F)N=C(N)O[C@H]3C[C@H]32)c1F,IC50,=,3530.0,nM,424.8100000000002,3.6286200000000015,2.0,5.0,5.452225294612178,0
Cc1cc(C(F)(F)F)cnc1C(=O)Nc1ccc(Cl)c([C@@]2(CF)N=C(N)O[C@@H]3C[C@@H]32)c1,CHEMBL3683876,Cc1cc(C(F)(F)F)cnc1C(=O)Nc1ccc(Cl)c([C@@]2(CF)N=C(N)O[C@@H]3C[C@@H]32)c1,IC50,=,80.6,nM,456.8270000000003,4.212720000000003,2.0,5.0,7.0936649581949105,1
Cc1cc(OC(F)F)cnc1C(=O)Nc1ccc(Cl)c([C@@]2(CF)N=C(N)O[C@@H]3C[C@@H]32)c1,CHEMBL3683877,Cc1cc(OC(F)F)cnc1C(=O)Nc1ccc(Cl)c([C@@]2(CF)N=C(N)O[C@@H]3C[C@@H]32)c1,IC50,=,83.5,nM,454.8360000000001,3.7953200000000016,2.0,6.0,7.078313524516398,1
N#Cc1cnc(C(=O)Nc2ccc(Cl)c([C@@]3(CF)N=C(N)O[C@@H]4C[C@@H]43)c2)c(Cl)c1,CHEMBL3683878,N#Cc1cnc(C(=O)Nc2ccc(Cl)c([C@@]3(CF)N=C(N)O[C@@H]4C[C@@H]43)c2)c(Cl)c1,IC50,=,39.5,nM,434.25800000000015,3.4105800000000013,2.0,6.0,7.4034029043735385,1
COCc1cc(Cl)cnc1C(=O)Nc1ccc(Cl)c([C@@]2(CF)N=C(N)O[C@@H]3C[C@@H]32)c1,CHEMBL3683879,COCc1cc(Cl)cnc1C(=O)Nc1ccc(Cl)c([C@@]2(CF)N=C(N)O[C@@H]3C[C@@H]32)c1,IC50,=,50.8,nM,453.30100000000016,3.6853000000000025,2.0,6.0,7.294136287716081,1
NC1=N[C@@](c2cc(NC(=O)c3ncc(Cl)cc3F)ccc2F)(C(F)F)[C@H]2C[C@H]2O1,CHEMBL3683880,NC1=N[C@@](c2cc(NC(=O)c3ncc(Cl)cc3F)ccc2F)(C(F)F)[C@H]2C[C@H]2O1,IC50,=,38.9,nM,428.77300000000014,3.4593000000000016,2.0,5.0,7.410050398674293,1
COc1ccc(C(=O)Nc2ccc(F)c([C@@]3(C(F)F)N=C(N)O[C@@H]4C[C@@H]43)c2)nc1,CHEMBL3683881,COc1ccc(C(=O)Nc2ccc(F)c([C@@]3(C(F)F)N=C(N)O[C@@H]4C[C@@H]43)c2)nc1,IC50,=,84.5,nM,406.36400000000015,2.6754000000000007,2.0,6.0,7.073143291050307,1
COc1cnc(C(=O)Nc2ccc(F)c([C@@]3(C(F)F)N=C(N)O[C@@H]4C[C@@H]43)c2)c(C)c1,CHEMBL3683882,COc1cnc(C(=O)Nc2ccc(F)c([C@@]3(C(F)F)N=C(N)O[C@@H]4C[C@@H]43)c2)c(C)c1,IC50,=,185.0,nM,420.39100000000013,2.983820000000001,2.0,6.0,6.732828271596986,0
Cc1cc(C#N)cnc1C(=O)Nc1cc(C)c(F)c([C@@]2(C(F)F)N=C(N)O[C@@H]3C[C@@H]32)c1,CHEMBL3683883,Cc1cc(C#N)cnc1C(=O)Nc1cc(C)c(F)c([C@@]2(C(F)F)N=C(N)O[C@@H]3C[C@@H]32)c1,IC50,=,21.4,nM,429.40200000000016,3.155320000000001,2.0,6.0,7.669586226650809,1
Cc1cc(NC(=O)c2ncc(C#N)cc2Cl)cc([C@@]2(C(F)F)N=C(N)O[C@@H]3C[C@@H]32)c1F,CHEMBL3683884,Cc1cc(NC(=O)c2ncc(C#N)cc2Cl)cc([C@@]2(C(F)F)N=C(N)O[C@@H]3C[C@@H]32)c1F,IC50,=,23.0,nM,449.82000000000016,3.500300000000001,2.0,6.0,7.638272163982407,1
COc1cc(Cl)cnc1C(=O)Nc1cc(C)c(F)c([C@@]2(C(F)F)N=C(N)O[C@@H]3C[C@@H]32)c1,CHEMBL3683885,COc1cc(Cl)cnc1C(=O)Nc1cc(C)c(F)c([C@@]2(C(F)F)N=C(N)O[C@@H]3C[C@@H]32)c1,IC50,=,130.5,nM,454.8360000000001,3.637220000000002,2.0,6.0,6.8843894883257,0
Cc1cc(NC(=O)c2ncc(Cl)cc2Cl)cc([C@@]2(C(F)F)N=C(N)O[C@@H]3C[C@@H]32)c1F,CHEMBL3683886,Cc1cc(NC(=O)c2ncc(Cl)cc2Cl)cc([C@@]2(C(F)F)N=C(N)O[C@@H]3C[C@@H]32)c1F,IC50,=,25.6,nM,459.25500000000017,4.282020000000003,2.0,5.0,7.591760034688151,1
N#Cc1ccc(C(=O)Nc2cc(F)c(Cl)c([C@]3(CF)N=C(N)O[C@H]4C[C@H]43)c2)nc1,CHEMBL3683887,N#Cc1ccc(C(=O)Nc2cc(F)c(Cl)c([C@]3(CF)N=C(N)O[C@H]4C[C@H]43)c2)nc1,IC50,=,119.5,nM,417.80300000000017,2.8962800000000013,2.0,6.0,6.922632094715843,0
Cc1cc(C#N)cnc1C(=O)Nc1cc(F)c(Cl)c([C@]2(CF)N=C(N)O[C@H]3C[C@H]32)c1,CHEMBL3683888,Cc1cc(C#N)cnc1C(=O)Nc1cc(F)c(Cl)c([C@]2(CF)N=C(N)O[C@H]3C[C@H]32)c1,IC50,=,44.8,nM,431.83000000000015,3.2047000000000017,2.0,6.0,7.348721986001856,1
Cc1cc(C#N)cnc1C(=O)Nc1cc(F)c(Cl)c([C@@]2(CF)N=C(N)O[C@@H]3C[C@@H]32)c1,CHEMBL3683889,Cc1cc(C#N)cnc1C(=O)Nc1cc(F)c(Cl)c([C@@]2(CF)N=C(N)O[C@@H]3C[C@@H]32)c1,IC50,=,36.2,nM,431.83000000000015,3.2047000000000017,2.0,6.0,7.441291429466834,1
C#CCOc1ccc(C(=O)Nc2cc(F)c(Cl)c([C@]3(CF)N=C(N)O[C@H]4C[C@H]43)c2)nc1,CHEMBL3683890,C#CCOc1ccc(C(=O)Nc2cc(F)c(Cl)c([C@]3(CF)N=C(N)O[C@H]4C[C@H]43)c2)nc1,IC50,=,6.0,nM,446.8410000000002,3.0366000000000017,2.0,6.0,8.221848749616356,1
COc1c(F)cc(NC(=O)c2ccc(Cl)cn2)cc1[C@@]1(CF)N=C(N)O[C@@H]2C[C@@H]21,CHEMBL3683894,COc1c(F)cc(NC(=O)c2ccc(Cl)cn2)cc1[C@@]1(CF)N=C(N)O[C@@H]2C[C@@H]21,IC50,=,153.0,nM,422.81900000000013,3.0332000000000012,2.0,6.0,6.815308569182402,0
Cc1cc(OC(F)F)cnc1C(=O)Nc1cc(F)c(Cl)c([C@]2(CF)N=C(N)O[C@H]3C[C@H]32)c1,CHEMBL3683902,Cc1cc(OC(F)F)cnc1C(=O)Nc1cc(F)c(Cl)c([C@]2(CF)N=C(N)O[C@H]3C[C@H]32)c1,IC50,=,143.0,nM,472.8260000000003,3.9344200000000016,2.0,6.0,6.8446639625349395,0
Cc1cc(OC(F)F)cnc1C(=O)Nc1cc(F)c(Cl)c([C@@]2(CF)N=C(N)O[C@@H]3C[C@@H]32)c1,CHEMBL3683905,Cc1cc(OC(F)F)cnc1C(=O)Nc1cc(F)c(Cl)c([C@@]2(CF)N=C(N)O[C@@H]3C[C@@H]32)c1,IC50,=,40.3,nM,472.8260000000003,3.9344200000000016,2.0,6.0,7.394694953858892,1
NC1=N[C@@](c2cc(NC(=O)c3ccc(OCF)cn3)ccc2F)(C(F)F)[C@H]2C[C@H]2O1,CHEMBL3688612,NC1=N[C@@](c2cc(NC(=O)c3ccc(OCF)cn3)ccc2F)(C(F)F)[C@H]2C[C@H]2O1,IC50,=,91.8,nM,424.354,2.9726000000000017,2.0,6.0,7.037157318798758,1
CS(=O)(=O)c1ccc(C(=O)Nc2ccc(F)c([C@@]3(C(F)F)N=C(N)O[C@@H]4C[C@@H]43)c2)nc1,CHEMBL3688614,CS(=O)(=O)c1ccc(C(=O)Nc2ccc(F)c([C@@]3(C(F)F)N=C(N)O[C@@H]4C[C@@H]43)c2)nc1,IC50,=,13100.0,nM,454.4300000000002,2.0703000000000005,2.0,7.0,4.8827287043442364,0
